company,reg_no,sic_div,ebitda_growth_raw,y_growth,margin_2022,y_margin_pp,log_turnover,firm_age,log_employees,rev_per_emp,rev_cagr_pre,ebitda_cagr_pre,margin_trend_pre
AUGER SITE INVESTIGATIONS LIMITED,03088958,36,0.41358845310877135,0.41358845310877135,0.30161848646427386,-0.8230645933302361,9.67807142086624,27.0,5.0238805208462765,105.0242105263158,0.5302825102491158,0.428742094638932,-0.06898651764711689
DAY 2 INTERIORS LIMITED,04282000,47,-0.8315708725782051,-0.8315708725782051,0.05421851298051539,-4.079570479257931,10.093601709665753,21.0,3.332204510175204,863.8483214285715,0.00024280265859699668,0.016003667246583753,0.0024842721032479267
RICHARD ALAN ENGINEERING COMPANY LIMITED,00973280,25,1.7642499761240278,1.7642499761240278,0.04844389779394996,4.180610724049321,9.652603324562941,52.0,4.844187086458591,122.5373937007874,-0.0016455731582027955,-0.2046621324544916,-0.04737216950663564
TELEGENIC LIMITED,01551526,59,-0.9817880794701986,-0.9817880794701986,0.0817671081428668,-7.98963068162986,10.699213884343516,41.0,4.804021044733257,363.28688524590166,0.28190135047553055,0.9869277310590565,0.05980893323792384
GRANGE MOTORS (SWINDON) LIMITED,04448487,45,-0.5371485943775101,-0.5371485943775101,0.04712785085643986,-2.3192232995588355,10.651785577560922,20.0,3.367295829986474,1457.5172413793102,-0.09699039548858224,0.3272413790394484,0.032285421018278096
HAYFIN LIMITED,06810157,82,0.8507085425125508,0.8507085425125508,0.09696056449949227,3.3648364017192165,9.711149841122669,13.0,3.044522437723423,785.7411428571428,0.402045750909793,0.3429881063848945,-0.013362214315618556
FARMER AUTOCARE LIMITED,SC246050,45,0.22794582526573673,0.22794582526573673,0.13524418299965202,0.8976357446187994,9.796102600199587,19.0,5.087596335232384,110.88640123456791,0.07418799601489545,0.2207434506730208,0.04309610730636314
NATURAL WORLD PRODUCTS LIMITED,NI023268,38,0.24330204061334026,0.24330204061334026,0.26928626417827445,0.7727770021312141,9.80615599612596,33.0,3.9889840465642745,336.0204259259259,0.054096625345788185,0.028503282160390997,-0.02060720022852014
SECURITY WINDOW SHUTTERS LIMITED,02125993,25,1.8335999277427173,1.8335999277427173,0.03379524806818641,5.987954748166061,9.918948070426325,35.0,4.867534450455582,156.24317692307693,0.07766130940707971,0.37295015087310723,0.01745200634905469
CONICA LTD,02547695,22,-0.22951851098236178,-0.22951851098236178,0.054844987060188595,-1.2677328634325156,9.92479620207404,32.0,4.110873864173311,334.93026229508195,0.1420772290291561,-0.008518376103621161,-0.02897919952940272
